ā bà	阿壩
bǎ hé xiāng	把荷鄉
bā hé zhèn	巴河鎮
bà hé zhèn	壩河鎮
bā hú zhèn	八湖鎮
bà huáng zhèn	壩黃鎮
bā huì zhèn	八會鎮
bā jí xiāng	巴集鄉
bā jiā xiāng	八家鄉
bā jiǎ zhàn	八甲站
bā jiǎ zhèn	八甲鎮
bā jiāng xiāng	八江鄉
bā jiāng zhèn	八江鎮
bā jiǎo xiāng	八角鄉
bā jiāo xiāng	芭蕉鄉
bā jiǎo zhèn	八角鎮
bā jiāo zhèn	芭蕉鎮
bā jǐng zhèn	八景鎮
bā jù zhèn	八巨鎮
bā kāi zhèn	八開鎮
bā láng zhèn	八郎鎮
bā léng xiāng	八楞鄉
bā lǐ bǎo	八里堡
bā lǐ qū	八里區
bā lí zhàn	巴黎站
bā lǐ zhèn	八里鎮
bā lí zhèn	笆籬鎮
bā lì zhèn	八力鎮
bā lǐ zhuāng	八里莊
bā lǐng xiāng	巴嶺鄉
bā líng zhèn	巴鈴鎮
bà liū zhèn	壩溜鎮
bā lóng xiāng	巴隆鄉
bā lù zhèn	八路鎮
bā mǎ xiàn	巴馬縣
bā mǎ zhèn	巴馬鎮
bā měi zhèn	八美鎮
bà měi zhèn	壩美鎮
bā miàn xiāng	八面鄉
bā miào zhèn	八廟鎮
bā miào zhèn	巴廟鎮
bā mù xiāng	岜暮鄉
bā nán qū	巴南區
bā nóng chǎng	八農場
bà pán zhèn	壩盤鎮
bā pén xiāng	岜盆鄉
bā pǔ zhèn	巴普鎮
bā qiān xiāng	八千鄉
bà qiáo qū	灞橋區
bā qiáo zhèn	八橋鎮
bā qīng xiàn	巴青縣
bā qīng xiāng	巴青鄉
bā qiū zhèn	巴邱鎮
bǎ quán xiàn	把全縣
bā rén xiāng	巴仁鄉
bā rén zhèn	巴仁鎮
bā rì xiāng	八日鄉
bā rì xiāng	巴日鄉
bā rǔ zhèn	巴汝鎮
bā shān zhàn	巴山站
bā shān zhèn	巴山鎮
bá shān zhèn	拔山鎮
bā shì zhàn	巴士站
bā sōng xiāng	八松鄉
bā suǒ zhèn	八所鎮
bā tái zhèn	八臺鎮
bā tān zhèn	八灘鎮
bā táng xiàn	巴塘縣
bā táng xiāng	巴塘鄉
bà táng zhèn	壩塘鎮
bā táng zhèn	八塘鎮
bā téng bǎo	巴騰堡
bā tóu xiāng	巴頭鄉
bā wàn zhèn	八萬鎮
bā wàng xiāng	巴旺鄉
bā wū zhèn	八屋鎮
bā xī zhàn	巴西站
bā xī zhèn	巴西鎮
bā xiān zhèn	八仙鎮
bà xīn zhèn	壩心鎮
bā xiǔ xiàn	八宿縣
bā yàn xiàn	巴彥縣
bā yàn xiāng	巴燕鄉
bā yàn zhèn	巴彥鎮
bā yàn zhèn	巴燕鎮
bā yáng zhèn	巴陽鎮
bà yáng zhèn	壩羊鎮
bā yí qū	巴宜區
bā yī xiāng	八一鄉
bā yī zhèn	八一鎮
bā yì zhèn	八義鎮
bā yīn xiāng	巴音鄉
bá yīng xiāng	拔英鄉
bà yíng zhèn	壩營鎮
bā yú xiāng	八於鄉
bā yú zhèn	八魚鎮
bà yuán zhèn	灞源鎮
bà zǎi zhèn	壩仔鎮
bā zhā xiāng	巴扎鄉
bà zhài xiāng	壩寨鄉
bā zhài zhèn	八寨鎮
bà zhèn zhèn	壩鎮鎮
bā zhōng xiàn	巴中縣
bā zhōng zhàn	巴中站
bā zhōu qū	巴州區
bà zhōu shì	霸州市
bà zhōu zhàn	霸州站
bà zhōu zhèn	霸州鎮
bà zhōu zhèn	灞州鎮
bā zhōu zhèn	巴州鎮
bā zhū xiāng	八珠鄉
bà zi xiāng	壩子鄉
bái àn xiāng	白岸鄉
bǎi bā zhèn	百巴鎮
bǎi bǎn xiāng	柏板鄉
bái bǎo xiāng	白寶鄉
bái bào zhèn	白豹鎮
bái bēi xiāng	白陂鄉
bái bì zhèn	白璧鎮
bǎi bù zhèn	百步鎮
bái cāng zhèn	白倉鎮
bái cǎo zhèn	白草鎮
bái céng zhèn	白層鎮
bái chá cūn	白查村
bái chá zhèn	白槎鎮
bái cháo xiāng	白朝鄉
bái chéng cūn	白城村
bài chéng xiàn	拜城縣
bǎi chéng zhèn	柏城鎮
bài chéng zhèn	拜城鎮
bǎi chǐ xiāng	百尺鄉
bǎi chǐ zhèn	百尺鎮
bái chuān cūn	白川村
bái chuān xiāng	白川鄉
bǎi cūn zhèn	柏村鎮
bái dá xiāng	白達鄉
bǎi dé zhèn	百德鎮
bái dì cūn	白地村
bái dì xiāng	白地鄉
bái dì zhèn	白地鎮
bái dì zhèn	白帝鎮
bái diàn xiāng	白店鄉
bái diān zhèn	白甸鎮
bǎi diàn zhèn	柏墊鎮
bái dìng cūn	白定村
bǎi dōu xiāng	百都鄉
bǎi dù zhèn	擺渡鎮
bái dù zhèn	白渡鎮
bái duī xiāng	白堆鄉
bái duǒ xiāng	白垛鄉
bái é xiāng	白鵝鄉
bǎi fāng zhèn	柏坊鎮
bái fú cūn	白浮村
bái gā xiāng	白嘎鄉
bái gè zhuāng	白各莊
bái gōu zhèn	白溝鎮
bái gòu zhèn	白垢鎮
bái guān zhèn	白關鎮
bái guǒ cūn	白果村
bái guǒ xiāng	白果鄉
bái guǒ zhèn	白果鎮
bǎi guǒ zhèn	柏果鎮
bái hé bǎo	白河堡
bái hé cūn	白河村
bái hè cūn	白鶴村
bái hé qū	白河區
bái hé xiàn	白河縣
bǎi hé xiāng	百合鄉
bái hè xiāng	白鶴鄉
bái hé xiāng	白河鄉
bǎi hé xiāng	百和鄉
bái hé zhàn	白河站
bái hè zhèn	白鶴鎮
bái hé zhèn	白河鎮
bái hé zhèn	白合鎮
bǎi hé zhèn	百合鎮
bǎi hé zhèn	百和鎮
bǎi hóu zhèn	百侯鎮
bái hú zhèn	白湖鎮
bái huà xiāng	白樺鄉
bái huā zhèn	白花鎮
bái jì xiāng	白際鄉
bái jí zhèn	白集鎮
bǎi jì zhèn	百濟鎮
bái jiā cūn	白家村
bǎi jiā xiàn	百佳縣
bái jiā xiāng	白家鄉
bái jiā zhèn	白家鎮
bǎi jiā zhèn	百嘉鎮
bǎi jiā zhèn	柏加鎮
bǎi jiā zhèn	柏家鎮
bái jiā zhuāng	白家莊
bái jiàn zhèn	白澗鎮
bái jiāng cūn	白江村
bǎi jiāng zhèn	百江鎮
bái jiāo zhèn	白蕉鎮
bái jié zhèn	白節鎮
bǎi jié zhèn	百節鎮
bái jiè zhèn	白界鎮
bái jīn xiāng	白金鄉
bǎi jīn zhèn	擺金鎮
bǎi jǐng zhèn	柏井鎮
bái jū zhèn	白駒鎮
bǎi kǒu xiāng	百口鄉
bái kuí zhèn	白奎鎮
bái lài xiāng	白瀨鄉
bái làng cūn	白浪村
bái lǎng xiàn	白朗縣
bái láng xiāng	白廊鄉
bái làng zhèn	白浪鎮
bái láng zhèn	白狼鎮
bái láng zhèn	白廊鎮
bǎi lè xiāng	百樂鄉
bái lè zhèn	白樂鎮
bǎi lǐ zhèn	百里鎮
bǎi lì zhèn	百利鎮
bái lián cūn	白蓮村
bái lián xiāng	白蓮鄉
bái lián zhèn	白蓮鎮
bái liáng zhèn	白良鎮
bǎi liáng zhèn	柏梁鎮
bǎi liáng zhèn	百良鎮
bǎi lín xiāng	百林鄉
bái lín zhèn	白琳鎮
bái lǐng zhèn	白嶺鎮
bái liǔ zhèn	白柳鎮
bái lóng cūn	白龍村
bái lóng xiāng	白龍鄉
bái lóng zhèn	白龍鎮
bǎi lóng zhèn	柏隆鎮
bái lóu xiāng	白樓鄉
bǎi lóu zhèn	百樓鎮
bái lóu zhèn	白樓鎮
bái lù cūn	白鹿村
bái lù cūn	白鷺村
bái lù xiāng	白鷺鄉
bǎi lù xiāng	柏露鄉
bái lù xiāng	白路鄉
bái lù xiāng	白碌鄉
bái lù zhèn	白鹿鎮
bǎi lù zhèn	百祿鎮
bái lù zhèn	白路鎮
bái luó zhèn	白螺鎮
bái mǎ cūn	白馬村
bái mǎ xiāng	白馬鄉
bǎi mǎ xiāng	百馬鄉
bái mǎ zhèn	白馬鎮
bái mǎ zhèn	白瑪鎮
bái mǎ zhuāng	白馬莊
bái mào zhèn	白帽鎮
bái máo zhèn	白茆鎮
bái méi xiāng	白梅鄉
bái mǐ zhèn	白米鎮
bái miào cūn	白廟村
bái miào xiāng	白廟鄉
bái miào zhèn	白廟鎮
bái mǔ xiāng	白姆鄉
bǎi mù xiāng	柏木鄉
bǎi nán xiāng	百南鄉
bái ní cūn	白泥村
bái ní xiāng	白坭鄉
bái ní zhèn	白坭鎮
bái ní zhèn	白霓鎮
bái ní zhèn	白泥鎮
bái niú cūn	白牛村
bái niú zhèn	白牛鎮
bǎi péng zhèn	百朋鎮
bái píng xiāng	白坪鄉
bái pú zhèn	白蒲鎮
bǎi pǔ zhèn	柏埔鎮
bái qí xiāng	白旗鄉
bái qí zhèn	白旗鎮
bǎi qiáng xiàn	百強縣
bái qiáo cūn	白橋村
bái qiáo zhèn	白橋鎮
bái qīng xiāng	白青鄉
bái quán cūn	白泉村
bài quán xiàn	拜泉縣
bái quán zhèn	白泉鎮
bài quán zhèn	拜泉鎮
bǎi quán zhèn	百泉鎮
bái sāng zhèn	白桑鎮
bǎi sè xiàn	百色縣
bái shā cūn	白沙村
bái shā xiàn	白沙縣
bái shā xiāng	白沙鄉
bái shā zhèn	白沙鎮
bái shā zhèn	白砂鎮
bái shān cūn	白山村
bái shān xiāng	白山鄉
bái shān zhèn	白山鎮
bǎi shàn zhèn	百善鎮
bǎi shè xiāng	柏社鄉
bái shě zhèn	白舍鎮
bǎi shěng xiāng	百省鄉
bǎi shèng zhèn	百勝鎮
bái shí cūn	白石村
bǎi shí jiǎo	百石角
bái shí xiāng	白石鄉
bái shí xiāng	白什鄉
bái shí zhàn	白石站
bái shí zhèn	白石鎮
bái shì zhèn	白市鎮
bǎi shòu zhèn	百壽鎮
bǎi shù xiāng	柏樹鄉
bǎi shù zhèn	柏樹鎮
bái shuǐ cūn	白水村
bái shuǐ xiàn	白水縣
bái shuǐ xiāng	白水鄉
bái shuǐ zhèn	白水鎮
bǎi shùn zhèn	百順鎮
bái sì cūn	白寺村
bái sì zhèn	白寺鎮
bái sōng zhèn	白松鎮
bǎi suǒ zhèn	擺所鎮
bái tǎ bǎo	白塔堡
bái tǎ cūn	白塔村
bái tǎ qū	白塔區
bái tǎ xiāng	白塔鄉
bái tǎ zhèn	白塔鎮
bái tán zhèn	白潭鎮
bái táng xiāng	白堂鄉
bái táng zhèn	白塘鎮
bǎi táng zhèn	柏塘鎮
bái tián xiāng	白田鄉
bái tián zhèn	白田鎮
bái tóu cūn	白頭村
bái tóu zhèn	白頭鎮
bái tǔ cūn	白土村
bái tǔ xiāng	白土鄉
bái tǔ zhèn	白土鎮
bái tù zhèn	白兔鎮
bái tuán zhèn	白團鎮
bái tuó zhèn	白駝鎮
bái wān xiāng	白灣鄉
bǎi wàn zhuāng	百萬莊
bái wáng xiāng	白王鄉
bǎi wàng zhèn	百旺鎮
bái wéi xiāng	白圩鄉
bái wéi zhèn	白圩鎮
bái wén zhèn	白文鎮
bái wù cūn	白霧村
bái wū zhèn	白烏鎮
bái xī cūn	白溪村
bǎi xī xiāng	柏溪鄉
bái xī zhèn	白溪鎮
bǎi xiāng xiàn	柏鄉縣
bǎi xiāng zhèn	柏鄉鎮
bǎi xiáng zhèn	百祥鎮
bǎi xiáng zhèn	柏祥鎮
bǎi xiāng zhèn	柏香鎮
bǎi xīng zhèn	百興鎮
bái xióng xiāng	白雄鄉
bái yā xiāng	白埡鄉
bái yá xiāng	白崖鄉
bǎi yā zhèn	柏埡鎮
bái yán cūn	白岩村
bái yàn zhèn	白彥鎮
bái yán zhèn	白岩鎮
bái yáng cūn	白洋村
bái yáng shì	白楊市
bái yáng xiāng	白楊鄉
bái yáng xiāng	白洋鄉
bǎi yáng xiāng	柏洋鄉
bái yáng xiāng	白羊鄉
bái yáng zhèn	白楊鎮
bái yáng zhèn	白洋鎮
bái yáng zhèn	白羊鎮
bái yáng zhèn	白陽鎮
bái yī xiāng	白依鄉
bái yī zhèn	白衣鎮
bái yì zhèn	白驛鎮
bǎi yí zhèn	百宜鎮
bái yín qū	白銀區
bái yíng zhèn	白營鎮
bái yù cūn	白玉村
bái yù xiàn	白玉縣
bái yù xiāng	白玉鄉
bǎi yú zhèn	柏榆鎮
bǎi yù zhèn	百育鎮
bái yuán zhèn	白元鎮
bái yún cūn	白雲村
bái yún qū	白雲區
bái yún xiāng	白雲鄉
bái yún zhèn	白雲鎮
bái yún zhuāng	白雲莊
bái zhā xiāng	白扎鄉
bái zhài zhèn	白寨鎮
bǎi zhàng xiāng	百丈鄉
bái zhāng zhèn	白樟鎮
bǎi zhàng zhèn	百丈鎮
bái zhōng zhèn	白中鎮
bái zhú cūn	白竹村
bái zhū cūn	白珠村
bái zhú xiāng	白竺鄉
bái zhū zhèn	白諸鎮
bái zhuāng cūn	白莊村
bái zhuāng xiāng	白莊鄉
bǎi zhuāng zhàn	柏莊站
bǎi zhuāng zhèn	柏莊鎮
bái zhuāng zhèn	白莊鎮
bǎi zǐ zhèn	柏梓鎮
bái zú cūn	白族村
bǎn bàng xiāng	板蚌鄉
bǎn chǎng xiāng	板場鄉
bǎn chǎng zhèn	板場鎮
bān chē zhàn	班車站
bǎn chéng zhèn	板城鎮
bàn chéng zhèn	半城鎮
bàn chéng zhèn	半程鎮
bǎn dà xiāng	昄大鄉
bǎn dāng zhèn	板當鎮
bǎn dǐ xiāng	板底鄉
bàn dī zhèn	半堤鎮
bǎn diàn xiāng	板店鄉
bǎn dōng zhèn	坂東鎮
bǎn fú zhèn	板芙鎮
bàn gǎng zhèn	半崗鎮
bān gē xiàn	班戈縣
bǎn gùn xiāng	板棍鄉
bān hóng xiāng	班洪鄉
bǎn hú zhèn	板湖鎮
bǎn jiāng xiāng	板江鄉
bàn jiāng zhèn	半江鎮
bān jīng zhèn	搬經鎮
bān kǎ xiāng	班卡鄉
bǎn lǎn zhèn	板欖鎮
bān lǎo xiāng	班老鄉
bǎn lǐ xiāng	坂裏鄉
bǎn lì xiāng	板利鄉
bǎn lì zhèn	板栗鎮
bǎn lǐng xiāng	板嶺鄉
bǎn lún xiāng	板侖鄉
bān mǎ xiàn	班瑪縣
bǎn miàn zhèn	坂面鎮
bǎn miào zhèn	板廟鎮
bǎn mù xiāng	板木鄉
bàn pō xiāng	半坡鄉
bàn pō zhàn	半坡站
bàn pō zhèn	半坡鎮
bǎn pǔ zhèn	板浦鎮
bǎn qiáo qū	板橋區
bǎn qiáo xiāng	板橋鄉
bǎn qiáo zhàn	板橋站
bǎn qiáo zhèn	板橋鎮
bǎn quán zhèn	板泉鎮
bǎn shān zhèn	板杉鎮
bǎn shēng xiāng	板升鄉
bǎn shì xiāng	板市鄉
bǎn shí zhèn	板石鎮
bǎn shí zhèn	版石鎮
bǎn shū zhèn	版書鎮
bàn tǎ zhèn	半塔鎮
bǎn tián zhàn	坂田站
bǎn xī zhèn	板溪鎮
bǎn yán zhèn	板岩鎮
bǎn zǎi zhèn	坂仔鎮
bān zhú zhèn	班竹鎮
bān zhuāng zhèn	班莊鎮
bāng ài xiāng	幫愛鄉
bāng bǐng xiāng	邦丙鄉
bāng dá xiāng	幫達鄉
bāng dá zhèn	幫達鎮
bāng dōng xiāng	邦東鄉
bāng duī xiāng	幫堆鄉
bàng é xiāng	蚌峨鄉
bāng fú xiàn	幫扶縣
bàng gǔ xiāng	蚌谷鄉
bāng jūn zhèn	邦均鎮
bǎng luó zhèn	榜羅鎮
bǎng shān zhèn	榜山鎮
bǎng tóu zhèn	榜頭鎮
bāng wàn cūn	幫萬村
bǎng wéi zhèn	榜圩鎮
bāng xī zhèn	邦溪鎮
bāng xīn xiāng	幫辛鄉
bǎo ān cūn	保安村
bǎo ān qū	寶安區
bǎo ān xiàn	寶安縣
bǎo ān xiāng	保安鄉
bǎo ān zhèn	保安鎮
báo bì zhèn	薄壁鎮
bǎo chāng zhèn	寶昌鎮
bāo chéng xiàn	褒城縣
bǎo chéng zhèn	保城鎮
bǎo chéng zhèn	寶城鎮
bāo chéng zhèn	褒城鎮
bǎo dài zhèn	保岱鎮
bǎo dé xiàn	保德縣
bǎo dǐ qū	寶坻區
bǎo dǐ xiàn	寶坻縣
bǎo dǐ zhàn	寶坻站
bǎo diān xiāng	寶甸鄉
bào diàn zhèn	鮑店鎮
bǎo diàn zhèn	保店鎮
bǎo dìng zhàn	保定站
bǎo dǐng zhèn	寶頂鎮
bǎo dōng zhèn	寶東鎮
bǎo dūn zhèn	寶墩鎮
bào ēn xiāng	報恩鄉
bǎo fàn zhèn	寶梵鎮
bǎo fēi zhèn	寶飛鎮
bǎo fēng xiàn	寶豐縣
bǎo fēng xiāng	寶豐鄉
bǎo fēng zhàn	寶豐站
bǎo fēng zhèn	寶峰鎮
bǎo fēng zhèn	寶豐鎮
bào fú zhèn	報福鎮
bǎo gài zhèn	寶蓋鎮
bāo gōng zhèn	包公鎮
bào gōu zhèn	鮑溝鎮
bāo hǎn zhèn	枹罕鎮
bāo hé qū	包河區
bǎo hé xiāng	保和鄉
bǎo hé zhèn	保合鎮
bǎo hé zhèn	保和鎮
bǎo huá xiāng	保華鄉
bǎo huá zhèn	寶華鎮
bǎo huá zhèn	保華鎮
bǎo jī xiàn	寶雞縣
bǎo jí xiāng	保吉鄉
bǎo jī zhàn	寶雞站
bào jí zhèn	鮑集鎮
bāo jí zhèn	包集鎮
bǎo jī zhèn	寶積鎮
bào jiā xiāng	鮑家鄉
bāo jiā xiāng	包家鄉
bāo jiā zhèn	包家鎮
bǎo jiā zhèn	保家鎮
bǎo jìng xiàn	保靖縣
bào jīng xiāng	報京鄉
bǎo kāng xiàn	保康縣
bǎo kāng zhèn	保康鎮
bǎo kǒu zhèn	寶口鎮
bǎo kù xiāng	寶庫鄉
bāo kuò xiàn	包括縣
bǎo lì zhèn	寶力鎮
bǎo lǐ zhèn	堡裏鎮
bǎo lín zhàn	寶琳站
bǎo lín zhèn	寶林鎮
bǎo lóng zhèn	寶龍鎮
bào lóng zhèn	抱龍鎮
bāo luán zhèn	包鸞鎮
bǎo lún zhèn	寶輪鎮
bào luó zhèn	抱羅鎮
bǎo mǎ zhèn	寶馬鎮
bǎo píng xiāng	保平鄉
bǎo píng zhèn	寶坪鎮
bǎo píng zhèn	保平鎮
bǎo qīng xiàn	寶清縣
bǎo qīng zhèn	寶清鎮
bǎo quán zhèn	寶泉鎮
bǎo shān qū	寶山區
bǎo shān xiàn	寶山縣
bǎo shān xiàn	保山縣
bǎo shān xiāng	寶山鄉
bǎo shān zhàn	寶山站
bǎo shān zhèn	寶山鎮
bǎo shèng xiāng	寶盛鄉
bǎo shēng zhèn	保升鎮
bǎo shí xiāng	寶石鄉
bǎo shí zhèn	寶石鎮
bǎo shí zhèn	保石鎮
bǎo shòu zhèn	保壽鎮
bǎo shuì qū	保稅區
báo shuǐ xiāng	雹水鄉
bǎo tǎ qū	寶塔區
bǎo tǎ xiāng	寶塔鄉
bǎo tǎ zhèn	寶塔鎮
bǎo tài zhèn	保太鎮
bǎo tái zhèn	寶臺鎮
bǎo tán xiāng	寶壇鄉
bǎo tián zhèn	保田鎮
bǎo tíng xiàn	保亭縣
bǎo tīng zhàn	寶町站
bǎo tīng zhàn	保町站
bāo tóu zhàn	包頭站
bāo tún zhèn	包屯鎮
bǎo wéi xiāng	寶圩鄉
bǎo wéi zhèn	寶圩鎮
bǎo wǔ zhèn	寶五鎮
bǎo xī xiāng	寶溪鄉
bào xiá zhèn	鮑峽鎮
bāo xìn zhèn	包信鎮
bǎo xīng xiàn	寶興縣
bǎo xīng xiāng	寶興鄉
bǎo xīng zhèn	保興鎮
bǎo xīng zhèn	寶興鎮
bǎo xiù zhèn	寶秀鎮
bào xū zhèn	鮑墟鎮
bǎo yàn zhèn	寶堰鎮
bāo yáng xiāng	包垟鄉
bǎo yì zhèn	保義鎮
bǎo yìng xiàn	寶應縣
bào yóu zhèn	抱由鎮
bǎo yuán xiāng	寶源鄉
bǎo zàng zhèn	寶藏鎮
bǎo zhàng cūn	保障村
bāo zhōng xiāng	褒忠鄉
bǎo zhū zhèn	寶珠鎮
báo zhú zhèn	薄竹鎮
bāo zuò xiāng	包座鄉
běi ān shì	北安市
běi ān xiàn	北安縣
běi ān xiāng	北安鄉
běi ān zhàn	北安站
běi àn zhèn	北岸鎮
běi bà zhèn	北壩鎮
bēi bà zhèn	碑壩鎮
běi bǎo xiāng	北堡鄉
běi bèi qū	北碚區
běi bèi zhàn	北碚站
bèi bēng xiāng	背崩鄉
běi bì xiāng	北壁鄉
běi bù xiāng	北埔鄉
běi cài zhèn	北蔡鎮
běi cāng zhàn	北倉站
běi cāng zhèn	北倉鎮
běi chén qū	北辰區
běi chéng qū	北城區
běi chéng xiāng	北呈鄉
běi chǔ zhèn	北褚鎮
běi chuān xiàn	北川縣
běi dà zhèn	北大鎮
běi dài zhèn	北代鎮
bèi dēng bǎo	貝登堡
běi diàn xiāng	北店鄉
běi dǒng xiāng	北董鄉
běi dǒu zhèn	北陡鎮
běi dǒu zhèn	北斗鎮
bèi dūn zhèn	貝墩鎮
bèi ēn bǎo	貝恩堡
bèi fàn zhèn	孛畈鎮
běi fáng zhèn	北房鎮
běi fēng zhèn	北峰鎮
běi gǎng xiāng	北崗鄉
běi gǎng zhèn	北港鎮
běi gǎng zhèn	北崗鎮
běi gāo zhèn	北高鎮
běi gāo zhèn	北皋鎮
bèi gē xiàn	貝戈縣
bēi gé xiāng	碑格鄉
běi gé zhèn	北格鎮
běi gèng xiāng	北更鄉
běi gōng zhèn	北宮鎮
běi gōu zhèn	北溝鎮
běi gù zhèn	北固鎮
běi guān qū	北關區
běi guān zhàn	北關站
běi guān zhèn	北關鎮
běi guàn zhèn	北慣鎮
běi guāng xiāng	北洸鄉
běi guō xiāng	北郭鄉
běi hǎi zhàn	北海站
běi hǎi zhèn	北海鎮
běi hàn xiāng	北漢鄉
běi hé xiāng	北河鄉
běi hé zhèn	北河鎮
běi hé zhèn	北和鎮
běi hú qū	北湖區
běi jí cūn	北極村
běi jǐ xiāng	北麂鄉
běi jí zhèn	北極鎮
běi jiāng xiāng	北疆鄉
běi jiāng xiāng	北江鄉
běi jiāo xiāng	北郊鄉
běi jiāo zhàn	北郊站
běi jiào zhàn	北滘站
běi jiāo zhèn	北郊鎮
běi jiào zhèn	北滘鎮
běi jiē zhàn	北街站
běi jiè zhèn	北界鎮
běi jǐng xiāng	北景鄉
běi jīng zhàn	北京站
běi jǐng zhèn	北景鎮
běi kè zhàn	北客站
bēi kuò zhèn	碑廓鎮
běi lā zhèn	北拉鎮
běi lěng xiāng	北冷鄉
běi lián zhèn	北聯鎮
bēi lín qū	碑林區
běi lín qū	北林區
běi lǐng xiāng	北嶺鄉
běi lǐng zhèn	北嶺鎮
bèi lǐng zhèn	貝嶺鎮
běi liú shì	北流市
běi liú xiàn	北流縣
běi liú zhèn	北留鎮
běi liú zhèn	北流鎮
běi lóu xiāng	北樓鄉
běi lú xiāng	北爐鄉
běi lún qū	北崙區
běi lún zhàn	北崙站
běi luó zhèn	北羅鎮
běi mǎ zhèn	北馬鎮
běi měi zhàn	北美站
běi mén qū	北門區
běi mén zhàn	北門站
běi mèng zhèn	北孟鎮
bēi miàn zhèn	陂面鎮
bēi miào zhèn	碑廟鎮
bēi mù zhèn	椑木鎮
bēi nán xiāng	卑南鄉
běi piào shì	北票市
běi piào xiàn	北票縣
běi píng xiāng	北屏鄉
běi píng zhèn	北平鎮
běi pō zhèn	北坡鎮
běi qiáo zhàn	北橋站
běi quán zhèn	北泉鎮
běi róng xiāng	北溶鄉
běi sān xiàn	北三縣
běi shān xiāng	北山鄉
běi shān zhàn	北山站
běi shān zhèn	北山鎮
běi shè xiāng	北社鄉
běi shèng zhèn	北盛鎮
běi shī zhèn	北詩鎮
běi shì zhèn	北市鎮
bèi sī bǎo	貝斯堡
běi sì zhèn	北泗鎮
běi sòng zhèn	北宋鎮
běi sū zhèn	北蘇鎮
běi sù zhèn	北宿鎮
běi tǎ qū	北塔區
běi tǎ zhèn	北塔鎮
běi tái xiāng	北台鄉
běi tān zhèn	北灘鎮
běi tián zhèn	北田鎮
běi tíng zhèn	北庭鎮
běi tōng zhèn	北通鎮
běi tóu qū	北投區
bēi tóu zhèn	陂頭鎮
běi tuán zhèn	北團鎮
běi tún qū	北屯區
běi tún shì	北屯市
běi tún zhèn	北屯鎮
běi tuó zhèn	北陀鎮
běi wā xiāng	北窪鄉
běi wān zhèn	北灣鎮
běi wàng zhèn	北旺鎮
běi wáng zhèn	北王鎮
běi wèi zhèn	北魏鎮
běi wù zhèn	北務鎮
bēi xī zhèn	陂西鎮
běi xiāng zhèn	北相鎮
běi xiāng zhèn	北鄉鎮
běi xīn bǎo	北辛堡
běi xīn xiāng	北辛鄉
běi xīn zhàn	北新站
běi xīn zhèn	北新鎮
běi xīng zhèn	北興鎮
běi yáng zhèn	北楊鎮
běi yáng zhèn	北洋鎮
bēi yáng zhèn	陂洋鎮
běi yáng zhèn	北陽鎮
běi yě xiāng	北冶鄉
běi yě zhèn	北冶鎮
běi yú xiāng	北魚鄉
běi yù xiāng	北浴鄉
běi yuán xiāng	北源鄉
běi yuàn zhàn	北苑站
bēi yuàn zhèn	碑院鎮
běi yuán zhèn	北塬鎮
běi zé zhàn	北澤站
běi zhài xiāng	北寨鄉
běi zhái zhàn	北宅站
běi zhài zhèn	北寨鎮
běi zhāng xiāng	北張鄉
běi zhāng zhèn	北張鎮
běi zhèn shì	北鎮市
běi zhèn xiàn	北鎮縣
běi zhèng xiāng	北正鄉
běi zhèng zhèn	北正鎮
běi zhōng zhèn	北中鎮
běi zhuāng zhèn	北莊鎮
bèi zī xiāng	背孜鄉
bēn chá zhèn	栟茶鎮
bèn chéng zhèn	倴城鎮
bèn chù zhèn	坌處鎮
bēn dá xiāng	奔達鄉
bēn dōu xiāng	奔都鄉
běn dùn xiàn	本頓縣
bēn gē xiāng	奔戈鄉
běn hào zhèn	本號鎮
bēn hóng zhèn	賁紅鎮
běn níng bǎo	本寧堡
bēn niú zhèn	奔牛鎮
běn tǎ xiāng	本塔鄉
běn tīng zhàn	本町站
běn xī xiàn	本溪縣
běn zhài zhèn	本寨鎮
bèn zhēn xiàn	笨珍縣
běn zhuāng zhèn	本莊鎮
bèng bù shì	蚌埠市
bèng shān qū	蚌山區
bì ān xiāng	碧安鄉
bì bèi zhèn	必背鎮
bì bō zhèn	碧波鎮
bì chéng zhèn	碧城鎮
bǐ dé zhèn	比德鎮
bì diàn zhèn	畢店鎮
bǐ ěr zhèn	比耳鎮
bǐ ěr zhèn	比爾鎮
bì fēng zhèn	碧峰鎮
bì guō zhèn	畢郭鎮
bì hén zhèn	碧痕鎮
bì hú zhèn	碧湖鎮
bì jiāng qū	碧江區
bì jiāng xiàn	碧江縣
bì jié xiàn	畢節縣
bì jīn zhàn	碧津站
bì kǒu zhèn	碧口鎮
bì lǐ xiāng	碧裏鄉
bì lián zhèn	碧蓮鎮
bì mǔ zhèn	必姆鎮
bǐ qí bǎo	比奇堡
bì qiáo zhèn	畢橋鎮
bǐ rú xiàn	比如縣
bǐ rú zhèn	比如鎮
bì shān qū	璧山區
bì shān xiàn	璧山縣
bì shān zhàn	璧山站
bì shān zhèn	碧山鎮
bǐ shān zhèn	筆山鎮
bì shí zhèn	碧石鎮
bì shí zhèn	弼時鎮
bì shuǐ zhèn	碧水鎮
bì tǔ xiàn	碧土縣
bì tǔ xiāng	碧土鄉
bì xī xiāng	碧溪鄉
bì xī zhèn	碧溪鎮
bì yán zhèn	碧岩鎮
bì yáng xiàn	泌陽縣
